product_id,path_id,step_seq,step_name,tool_group_id,run_time_hr,batch_size,visit_count,route_version
28nm_DRAM_A,default,1,DEPO_step_001,DEPO_01,0.4643,100,1,current
28nm_DRAM_A,default,2,LITHO_step_002,LITHO_01,0.3837,1,1,current
28nm_DRAM_A,default,3,ETCH_step_003,ETCH_02,0.4858,1,1,current
28nm_DRAM_A,default,4,WET_step_004,WET_02,0.6317,1,1,current
28nm_DRAM_A,default,5,METRO_step_005,METRO_02,0.3729,1,1,current
28nm_DRAM_A,default,6,DEPO_step_006,DEPO_03,0.3729,1,1,current
28nm_DRAM_A,default,7,LITHO_step_007,LITHO_03,0.6424,1,1,current
28nm_DRAM_A,default,8,ETCH_step_008,ETCH_02,0.5036,1,1,current
28nm_DRAM_A,default,9,WET_step_009,WET_03,0.3475,100,1,current
28nm_DRAM_A,default,10,METRO_step_010,METRO_02,0.4707,1,1,current
28nm_DRAM_A,default,11,IMPL_step_011,IMPL_01,0.3481,100,1,current
28nm_DRAM_A,default,12,DIFF_step_012,DIFF_02,0.3478,100,1,current
28nm_DRAM_A,default,13,CMP_step_013,CMP_01,0.4301,1,1,current
28nm_DRAM_A,default,14,METRO_step_014,METRO_03,0.2253,1,1,current
28nm_DRAM_A,default,15,DEPO_step_015,DEPO_04,0.2384,1,1,current
28nm_DRAM_A,default,16,LITHO_step_016,LITHO_03,0.3379,1,1,current
28nm_DRAM_A,default,17,ETCH_step_017,ETCH_04,0.2952,1,1,current
28nm_DRAM_A,default,18,WET_step_018,WET_04,0.4395,1,1,current
28nm_DRAM_A,default,19,METRO_step_019,METRO_04,0.3046,1,1,current
28nm_DRAM_A,default,20,DEPO_step_020,DEPO_05,0.2619,25,1,current
28nm_DRAM_A,default,21,LITHO_step_021,LITHO_04,0.6209,1,1,current
28nm_DRAM_A,default,22,ETCH_step_022,ETCH_04,0.3738,1,1,current
28nm_DRAM_A,default,23,WET_step_023,WET_04,0.4082,100,1,current
28nm_DRAM_A,default,24,METRO_step_024,METRO_01,0.2609,1,1,current
28nm_DRAM_A,default,25,IMPL_step_025,IMPL_02,0.3397,100,1,current
28nm_DRAM_A,default,26,DIFF_step_026,DIFF_03,0.4135,1,1,current
28nm_DRAM_A,default,27,CMP_step_027,CMP_02,0.2832,1,1,current
28nm_DRAM_A,default,28,METRO_step_028,METRO_02,0.4477,1,1,current
28nm_DRAM_A,default,29,DEPO_step_029,DEPO_06,0.334,100,1,current
28nm_DRAM_A,default,30,LITHO_step_030,LITHO_05,0.3665,1,1,current
28nm_DRAM_A,default,31,ETCH_step_031,ETCH_06,0.3339,1,1,current
28nm_DRAM_A,default,32,WET_step_032,WET_06,0.6973,1,1,current
28nm_DRAM_A,default,33,METRO_step_033,METRO_03,0.3984,1,1,current
28nm_DRAM_A,default,34,DEPO_step_034,DEPO_07,0.2912,25,1,current
28nm_DRAM_A,default,35,LITHO_step_035,LITHO_07,0.512,1,1,current
28nm_DRAM_A,default,36,ETCH_step_036,ETCH_07,0.2773,1,1,current
28nm_DRAM_A,default,37,WET_step_037,WET_07,0.4259,1,1,current
28nm_DRAM_A,default,38,METRO_step_038,METRO_04,0.2222,1,1,current
28nm_DRAM_A,default,39,IMPL_step_039,IMPL_03,0.2685,1,1,current
28nm_DRAM_A,default,40,DIFF_step_040,DIFF_04,0.4243,1,1,current
28nm_DRAM_A,default,41,CMP_step_041,CMP_03,0.4992,1,1,current
28nm_DRAM_A,default,42,METRO_step_042,METRO_01,0.4211,1,1,current
28nm_DRAM_A,default,43,DEPO_step_043,DEPO_07,0.3864,1,1,current
28nm_DRAM_A,default,44,LITHO_step_044,LITHO_07,0.3655,1,1,current
28nm_DRAM_A,default,45,ETCH_step_045,ETCH_07,0.2567,1,1,current
28nm_DRAM_A,default,46,WET_step_046,WET_07,0.3223,1,1,current
28nm_DRAM_A,default,47,METRO_step_047,METRO_03,0.3484,1,1,current
28nm_DRAM_A,default,48,DEPO_step_048,DEPO_08,0.5493,100,1,current
28nm_DRAM_A,default,49,LITHO_step_049,LITHO_08,0.4434,1,1,current
28nm_DRAM_A,default,50,ETCH_step_050,ETCH_09,0.2357,1,1,current
28nm_DRAM_A,default,51,WET_step_051,WET_02,0.4408,1,1,current
28nm_DRAM_A,default,52,METRO_step_052,METRO_03,0.3564,1,1,current
28nm_DRAM_A,default,53,IMPL_step_053,IMPL_05,0.3265,1,1,current
28nm_DRAM_A,default,54,DIFF_step_054,DIFF_05,0.4806,25,1,current
28nm_DRAM_A,default,55,CMP_step_055,CMP_04,0.545,1,1,current
28nm_DRAM_A,default,56,METRO_step_056,METRO_04,0.5289,1,1,current
28nm_DRAM_A,default,57,DEPO_step_057,DEPO_09,0.311,100,1,current
28nm_DRAM_A,default,58,LITHO_step_058,LITHO_02,0.3646,1,1,current
28nm_DRAM_A,default,59,ETCH_step_059,ETCH_10,0.4418,1,1,current
28nm_DRAM_A,default,60,WET_step_060,WET_03,0.536,25,1,current
28nm_DRAM_A,default,61,METRO_step_061,METRO_02,0.3464,1,1,current
28nm_DRAM_A,default,62,DEPO_step_062,DEPO_10,0.3783,100,1,current
28nm_DRAM_A,default,63,LITHO_step_063,LITHO_02,0.287,1,1,current
28nm_DRAM_A,default,64,ETCH_step_064,ETCH_10,0.2794,1,1,current
28nm_DRAM_A,default,65,WET_step_065,WET_04,0.5104,100,1,current
28nm_DRAM_A,default,66,METRO_step_066,METRO_03,0.6008,1,1,current
28nm_DRAM_A,default,67,IMPL_step_067,IMPL_05,0.3915,1,1,current
28nm_DRAM_A,default,68,DIFF_step_068,DIFF_05,0.5405,1,1,current
28nm_DRAM_A,default,69,CMP_step_069,CMP_06,0.4458,1,1,current
28nm_DRAM_A,default,70,METRO_step_070,METRO_03,0.3296,1,1,current
28nm_DRAM_B,default,1,DEPO_step_001,DEPO_02,0.4458,1,1,current
28nm_DRAM_B,default,2,LITHO_step_002,LITHO_04,0.6345,1,1,current
28nm_DRAM_B,default,3,ETCH_step_003,ETCH_12,0.3957,1,1,current
28nm_DRAM_B,default,4,WET_step_004,WET_04,0.6396,1,1,current
28nm_DRAM_B,default,5,METRO_step_005,METRO_01,0.1823,1,1,current
28nm_DRAM_B,default,6,DEPO_step_006,DEPO_02,0.5119,1,1,current
28nm_DRAM_B,default,7,LITHO_step_007,LITHO_04,0.4106,1,1,current
28nm_DRAM_B,default,8,ETCH_step_008,ETCH_12,0.3657,1,1,current
28nm_DRAM_B,default,9,WET_step_009,WET_05,0.4112,1,1,current
28nm_DRAM_B,default,10,METRO_step_010,METRO_02,0.2203,1,1,current
28nm_DRAM_B,default,11,IMPL_step_011,IMPL_02,0.3745,25,1,current
28nm_DRAM_B,default,12,DIFF_step_012,DIFF_06,0.4452,25,1,current
28nm_DRAM_B,default,13,CMP_step_013,CMP_06,0.6232,1,1,current
28nm_DRAM_B,default,14,METRO_step_014,METRO_02,0.3424,1,1,current
28nm_DRAM_B,default,15,DEPO_step_015,DEPO_04,0.3139,1,1,current
28nm_DRAM_B,default,16,LITHO_step_016,LITHO_06,0.3441,1,1,current
28nm_DRAM_B,default,17,ETCH_step_017,ETCH_02,0.5264,1,1,current
28nm_DRAM_B,default,18,WET_step_018,WET_07,0.4415,25,1,current
28nm_DRAM_B,default,19,METRO_step_019,METRO_04,0.3412,1,1,current
28nm_DRAM_B,default,20,DEPO_step_020,DEPO_05,0.4666,1,1,current
28nm_DRAM_B,default,21,LITHO_step_021,LITHO_06,0.4118,1,1,current
28nm_DRAM_B,default,22,ETCH_step_022,ETCH_03,0.5349,1,1,current
28nm_DRAM_B,default,23,WET_step_023,WET_07,0.324,1,1,current
28nm_DRAM_B,default,24,METRO_step_024,METRO_04,0.3626,1,1,current
28nm_DRAM_B,default,25,IMPL_step_025,IMPL_03,0.3556,1,1,current
28nm_DRAM_B,default,26,DIFF_step_026,DIFF_07,0.2579,100,1,current
28nm_DRAM_B,default,27,CMP_step_027,CMP_02,0.4372,1,1,current
28nm_DRAM_B,default,28,METRO_step_028,METRO_01,0.4326,1,1,current
28nm_DRAM_B,default,29,DEPO_step_029,DEPO_05,0.4006,100,1,current
28nm_DRAM_B,default,30,LITHO_step_030,LITHO_07,0.3728,1,1,current
28nm_DRAM_B,default,31,ETCH_step_031,ETCH_03,0.2616,1,1,current
28nm_DRAM_B,default,32,WET_step_032,WET_01,0.3526,100,1,current
28nm_DRAM_B,default,33,METRO_step_033,METRO_02,0.3609,1,1,current
28nm_DRAM_B,default,34,DEPO_step_034,DEPO_06,0.3144,25,1,current
28nm_DRAM_B,default,35,LITHO_step_035,LITHO_08,0.3811,1,1,current
28nm_DRAM_B,default,36,ETCH_step_036,ETCH_04,0.4515,1,1,current
28nm_DRAM_B,default,37,WET_step_037,WET_02,0.7044,100,1,current
28nm_DRAM_B,default,38,METRO_step_038,METRO_03,0.4215,1,1,current
28nm_DRAM_B,default,39,IMPL_step_039,IMPL_04,0.4321,100,1,current
28nm_DRAM_B,default,40,DIFF_step_040,DIFF_01,0.3912,25,1,current
28nm_DRAM_B,default,41,CMP_step_041,CMP_02,0.2249,1,1,current
28nm_DRAM_B,default,42,METRO_step_042,METRO_01,0.3968,1,1,current
28nm_DRAM_B,default,43,DEPO_step_043,DEPO_07,0.4073,25,1,current
28nm_DRAM_B,default,44,LITHO_step_044,LITHO_02,0.8375,1,1,current
